family,system,littera,popularName,quantityKind,placement,room_name,room_littera,storey,sensor_id,parent_device_id,latest_value,age_hours_at_probe,edgeStatus
Lindinvent,Lindinvent,LB104-7002-TB15B2/4152,LB104-7002-TB15B2 Presence,Presence,IndoorAir,ENTRÉ,7002,PLAN 10,7fff1a32-9ad7-4abd-8ec6-adb121837c73,3af5e55c-fa3e-4926-9532-c095b5b288ab,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15B2/8006,LB104-7002-TB15B2 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,ENTRÉ,7002,PLAN 10,6946b59d-815a-4c16-91bb-33d149f16cb5,3af5e55c-fa3e-4926-9532-c095b5b288ab,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15B2/9004,LB104-7002-TB15B2 Opening,State,SupplyAir,ENTRÉ,7002,PLAN 10,1930df9f-6bbb-45af-8bfb-8836c9ae190d,3af5e55c-fa3e-4926-9532-c095b5b288ab,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7002-TB15B2/9070,LB104-7002-TB15B2 Room temperature,Temperature,IndoorAir,ENTRÉ,7002,PLAN 10,fec8d57b-58dd-46a9-840e-281723553b13,3af5e55c-fa3e-4926-9532-c095b5b288ab,21.8,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/-12,LB104-7003-TB15B1 Supply air flow,Flow,SupplyAir,GRUPPRUM,7003,PLAN 10,38228fb0-6a9b-41cb-af98-4ad19ff5514b,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/4151,LB104-7003-TB15B1 Local presence,Presence,IndoorAir,GRUPPRUM,7003,PLAN 10,bab208b4-92e3-476b-9406-8d95b7469ecf,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/4152,LB104-7003-TB15B1 Presence,Presence,IndoorAir,GRUPPRUM,7003,PLAN 10,291ef395-6ab0-4304-b3f7-cd162075f7b3,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/8006,LB104-7003-TB15B1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7003,PLAN 10,81be45c2-940b-4adf-baf2-9baac37b4dfa,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,20.0,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/9004,LB104-7003-TB15B1 Opening,State,SupplyAir,GRUPPRUM,7003,PLAN 10,ca6f80e4-6fca-45b3-ba2f-bcdba0fc7e64,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7003-TB15B1/9070,LB104-7003-TB15B1 Room temperature,Temperature,IndoorAir,GRUPPRUM,7003,PLAN 10,332b1587-ad3c-4607-a4b2-7264605c00c4,086e6f1b-8ec0-4d07-96b3-1c6cad3c84d3,22.9,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/-12,LB104-7006-TB15B1 Supply air flow,Flow,SupplyAir,KONTOR,7006,PLAN 10,d7b783c6-13d8-4c11-8418-693e5156a76b,4f917d31-096f-4760-99fa-79ad2d97b266,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/4151,LB104-7006-TB15B1 Local presence,Presence,IndoorAir,KONTOR,7006,PLAN 10,4424323e-87d3-4aa3-b3c1-3115525c7864,4f917d31-096f-4760-99fa-79ad2d97b266,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/4152,LB104-7006-TB15B1 Presence,Presence,IndoorAir,KONTOR,7006,PLAN 10,825c1936-58e8-4f07-b0c0-5b22ca018e95,4f917d31-096f-4760-99fa-79ad2d97b266,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/8006,LB104-7006-TB15B1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,36c4f894-484d-4b01-86e2-e2970c74bdce,4f917d31-096f-4760-99fa-79ad2d97b266,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/8009,LB104-7006-TB15B1 CO2 setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,b91724a4-97c0-4ca1-b530-48697f32e67d,4f917d31-096f-4760-99fa-79ad2d97b266,400.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/9004,LB104-7006-TB15B1 Opening,State,SupplyAir,KONTOR,7006,PLAN 10,31b50ebe-60ec-455a-b7e2-62877b612643,4f917d31-096f-4760-99fa-79ad2d97b266,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/9070,LB104-7006-TB15B1 Room temperature,Temperature,IndoorAir,KONTOR,7006,PLAN 10,e1b8f7ee-46b0-4c8c-bc3f-3aed56c2ddd9,4f917d31-096f-4760-99fa-79ad2d97b266,21.7,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B1/9090,LB104-7006-TB15B1 CO2,CO2,IndoorAir,KONTOR,7006,PLAN 10,2903cce8-bbf6-4cb2-b630-051f54033c8a,4f917d31-096f-4760-99fa-79ad2d97b266,437.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/-12,LB104-7006-TB15B2 Supply air flow,Flow,SupplyAir,KONTOR,7006,PLAN 10,59d4d0bc-8712-4a69-bc3b-17dc51d6bb34,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/4151,LB104-7006-TB15B2 Local presence,Presence,IndoorAir,KONTOR,7006,PLAN 10,450afa1f-8997-442d-905b-77e9ef0e1b80,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/4152,LB104-7006-TB15B2 Presence,Presence,IndoorAir,KONTOR,7006,PLAN 10,6420e30a-5dfb-4a28-b919-65173e97d355,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/8006,LB104-7006-TB15B2 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,7c881144-6f2c-4dd2-8dca-e2cad34aebf2,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/8009,LB104-7006-TB15B2 CO2 setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,c0c1af6d-d313-41f3-b57a-87701f4b4bcd,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,400.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/9004,LB104-7006-TB15B2 Opening,State,SupplyAir,KONTOR,7006,PLAN 10,dab41753-7d0e-4174-869e-dd7c89d5e103,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/9070,LB104-7006-TB15B2 Room temperature,Temperature,IndoorAir,KONTOR,7006,PLAN 10,973f9f47-e8ce-4a80-8c7a-aad549c99731,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,21.7,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TB15B2/9090,LB104-7006-TB15B2 CO2,CO2,IndoorAir,KONTOR,7006,PLAN 10,703e5fbb-f3de-4a17-a781-28672aa0224c,ebb3415b-0e1c-422a-8cfc-2cd61ffa71a0,437.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/4152,LB104-7006-TD202 Presence,Presence,IndoorAir,KONTOR,7006,PLAN 10,ff426eab-8299-47ed-b194-937c33b39c9a,34556807-de3f-4d9a-a5e4-e9f069df7ac3,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/8006,LB104-7006-TD202 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,7d4b1ac4-ad53-474c-8890-0c42bc0ce221,34556807-de3f-4d9a-a5e4-e9f069df7ac3,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/8009,LB104-7006-TD202 CO2 setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7006,PLAN 10,3c8d99ee-81a1-492f-93cf-624b2729382c,34556807-de3f-4d9a-a5e4-e9f069df7ac3,400.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/9004,LB104-7006-TD202 Opening,State,SupplyAir,KONTOR,7006,PLAN 10,747ddf33-e818-4ba9-9dee-6e4eb0ea29b9,34556807-de3f-4d9a-a5e4-e9f069df7ac3,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/9070,LB104-7006-TD202 Room temperature,Temperature,IndoorAir,KONTOR,7006,PLAN 10,f3f80f8e-f656-4f7b-8925-afb4b052d1f8,34556807-de3f-4d9a-a5e4-e9f069df7ac3,21.7,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/9073,LB104-7006-TD202 Local room temperature,Temperature,IndoorAir,KONTOR,7006,PLAN 10,5ea0f1c8-fc3b-47c3-97d5-ce5d50b4d7ba,34556807-de3f-4d9a-a5e4-e9f069df7ac3,23.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/9084,LB104-7006-TD202 Local supply air flow,Flow,SupplyAir,KONTOR,7006,PLAN 10,b778ff88-1c36-4d18-b5b2-9fd24ca97a2f,34556807-de3f-4d9a-a5e4-e9f069df7ac3,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7006-TD202/9090,LB104-7006-TD202 CO2,CO2,IndoorAir,KONTOR,7006,PLAN 10,5d1b0de9-829d-418e-a983-9b623a4f93a2,34556807-de3f-4d9a-a5e4-e9f069df7ac3,437.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/-12,LB104-7007-TB15B1 Supply air flow,Flow,SupplyAir,KONTOR,7007,PLAN 10,71380475-a9bf-4301-846f-f7ab3f54a0cc,88ad09c5-288c-40dd-a5a1-e37a3266a580,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/4151,LB104-7007-TB15B1 Local presence,Presence,IndoorAir,KONTOR,7007,PLAN 10,ccce9392-9f66-4430-91aa-18a5b1f65022,88ad09c5-288c-40dd-a5a1-e37a3266a580,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/4152,LB104-7007-TB15B1 Presence,Presence,IndoorAir,KONTOR,7007,PLAN 10,d9a3aeae-921f-41f4-baa3-8afb953da115,88ad09c5-288c-40dd-a5a1-e37a3266a580,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/8006,LB104-7007-TB15B1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7007,PLAN 10,6c4c61d5-6f63-4e3d-97a8-8b4abc881c72,88ad09c5-288c-40dd-a5a1-e37a3266a580,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/9004,LB104-7007-TB15B1 Opening,State,SupplyAir,KONTOR,7007,PLAN 10,912427fc-647b-4d7a-a02c-d8a59f73249f,88ad09c5-288c-40dd-a5a1-e37a3266a580,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TB15B1/9070,LB104-7007-TB15B1 Room temperature,Temperature,IndoorAir,KONTOR,7007,PLAN 10,8fe32257-42f7-42be-bbf0-6c557078b6c2,88ad09c5-288c-40dd-a5a1-e37a3266a580,22.6,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/4152,LB104-7007-TD201 Presence,Presence,IndoorAir,KONTOR,7007,PLAN 10,17e7bd4e-bb0e-42e6-8aae-77878dec9ee2,9eaf1d4d-0b52-4f63-a62b-2e247085612d,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/8006,LB104-7007-TD201 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,KONTOR,7007,PLAN 10,7f527588-ca77-4958-bd33-378ff4ddb2f0,9eaf1d4d-0b52-4f63-a62b-2e247085612d,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/9004,LB104-7007-TD201 Opening,State,SupplyAir,KONTOR,7007,PLAN 10,d352626f-fb0f-4b4c-ad1d-16099ce7dc24,9eaf1d4d-0b52-4f63-a62b-2e247085612d,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/9070,LB104-7007-TD201 Room temperature,Temperature,IndoorAir,KONTOR,7007,PLAN 10,fa327476-aa86-48b3-9669-6fcd22b324e1,9eaf1d4d-0b52-4f63-a62b-2e247085612d,22.6,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/9073,LB104-7007-TD201 Local room temperature,Temperature,IndoorAir,KONTOR,7007,PLAN 10,2d2629f0-5dc7-411d-a691-11684276eac1,9eaf1d4d-0b52-4f63-a62b-2e247085612d,23.1,0.3,OK
Lindinvent,Lindinvent,LB104-7007-TD201/9084,LB104-7007-TD201 Local supply air flow,Flow,SupplyAir,KONTOR,7007,PLAN 10,37bb33bd-9bd7-49c8-bc10-3d23697350d5,9eaf1d4d-0b52-4f63-a62b-2e247085612d,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/-12,LB104-7008-TB15B1 Supply air flow,Flow,SupplyAir,GRUPPRUM,7008,PLAN 10,0761c430-ef74-401c-81c9-d0686a245b70,7da74abd-efdd-405f-8be8-6d4aa984cb52,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/4151,LB104-7008-TB15B1 Local presence,Presence,IndoorAir,GRUPPRUM,7008,PLAN 10,6e1eafb8-554f-4796-92ba-50888e6e261f,7da74abd-efdd-405f-8be8-6d4aa984cb52,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/4152,LB104-7008-TB15B1 Presence,Presence,IndoorAir,GRUPPRUM,7008,PLAN 10,c2e5dbd0-ea9c-4522-9e4a-bef1e5240c58,7da74abd-efdd-405f-8be8-6d4aa984cb52,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/8006,LB104-7008-TB15B1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7008,PLAN 10,f9d09fd7-7a5f-4a1e-a64e-770d4380a968,7da74abd-efdd-405f-8be8-6d4aa984cb52,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/8009,LB104-7008-TB15B1 CO2 setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7008,PLAN 10,bd0b3157-24a0-4071-89bc-4cdc4e0197f3,7da74abd-efdd-405f-8be8-6d4aa984cb52,600.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/9004,LB104-7008-TB15B1 Opening,State,SupplyAir,GRUPPRUM,7008,PLAN 10,7742af4a-5ff7-4d80-b375-d58c426cd90e,7da74abd-efdd-405f-8be8-6d4aa984cb52,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/9070,LB104-7008-TB15B1 Room temperature,Temperature,IndoorAir,GRUPPRUM,7008,PLAN 10,976fca31-2f51-4aeb-9cba-41d84db91a7d,7da74abd-efdd-405f-8be8-6d4aa984cb52,22.6,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TB15B1/9090,LB104-7008-TB15B1 CO2,CO2,IndoorAir,GRUPPRUM,7008,PLAN 10,d62888d0-b57c-4b14-b733-b8db1592b44c,7da74abd-efdd-405f-8be8-6d4aa984cb52,441.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/4152,LB104-7008-TD201 Presence,Presence,IndoorAir,GRUPPRUM,7008,PLAN 10,f11a3bda-e7aa-4dec-b514-c582ec1b3c67,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/8006,LB104-7008-TD201 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7008,PLAN 10,fbe1b467-a1fa-4564-8a6e-38221c0e75db,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/8009,LB104-7008-TD201 CO2 setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7008,PLAN 10,95a4dad4-f500-40dd-a605-4a59f1781556,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,600.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/9004,LB104-7008-TD201 Opening,State,SupplyAir,GRUPPRUM,7008,PLAN 10,4986d50c-4c69-411c-ad06-66d9a9fe7d15,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/9070,LB104-7008-TD201 Room temperature,Temperature,IndoorAir,GRUPPRUM,7008,PLAN 10,b46f44db-8d3f-4ab8-89bb-d97d3c6e02a3,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,22.6,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/9073,LB104-7008-TD201 Local room temperature,Temperature,IndoorAir,GRUPPRUM,7008,PLAN 10,40d2b783-a973-4fe4-846a-b4a97d0a0788,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,22.8,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/9084,LB104-7008-TD201 Local supply air flow,Flow,SupplyAir,GRUPPRUM,7008,PLAN 10,30c44a63-2561-437b-9c0f-91f57d476b64,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7008-TD201/9090,LB104-7008-TD201 CO2,CO2,IndoorAir,GRUPPRUM,7008,PLAN 10,6be0d580-dc4a-4b17-aa52-421593d07667,897a193e-8f97-48dd-a82c-fb9ee1fd88f1,441.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/-12,LB104-7009-TB15B1 Supply air flow,Flow,SupplyAir,FRD.,7009,PLAN 10,cbbcd238-fa17-427c-b110-7ff46012e364,22b5b11a-66e3-4284-936c-062dfad914f6,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/4151,LB104-7009-TB15B1 Local presence,Presence,IndoorAir,FRD.,7009,PLAN 10,91ba622e-50ce-41d5-9bd2-475c100c54af,22b5b11a-66e3-4284-936c-062dfad914f6,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/4152,LB104-7009-TB15B1 Presence,Presence,IndoorAir,FRD.,7009,PLAN 10,000e1ae7-cf77-47b6-aa02-0269c0ef8013,22b5b11a-66e3-4284-936c-062dfad914f6,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/8006,LB104-7009-TB15B1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,FRD.,7009,PLAN 10,30cf004a-3f8e-4767-a4de-7cc5b3d964f4,22b5b11a-66e3-4284-936c-062dfad914f6,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/9004,LB104-7009-TB15B1 Opening,State,SupplyAir,FRD.,7009,PLAN 10,fcb762b7-24cf-49e5-85b1-500121a860f5,22b5b11a-66e3-4284-936c-062dfad914f6,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TB15B1/9070,LB104-7009-TB15B1 Room temperature,Temperature,IndoorAir,FRD.,7009,PLAN 10,8d80b085-5971-4b94-a221-25077419dd9f,22b5b11a-66e3-4284-936c-062dfad914f6,22.7,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/4152,LB104-7009-TD201 Presence,Presence,IndoorAir,FRD.,7009,PLAN 10,167251e9-9e56-487e-93d1-5bc1594c139b,6055fa41-d13d-47cd-8923-7bc8fd84728b,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/8006,LB104-7009-TD201 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,FRD.,7009,PLAN 10,a490db73-72a0-425c-9e87-fa60393584fa,6055fa41-d13d-47cd-8923-7bc8fd84728b,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/9004,LB104-7009-TD201 Opening,State,SupplyAir,FRD.,7009,PLAN 10,48ace4a4-385f-4c4c-9891-00c5fc974772,6055fa41-d13d-47cd-8923-7bc8fd84728b,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/9070,LB104-7009-TD201 Room temperature,Temperature,IndoorAir,FRD.,7009,PLAN 10,ac5ac259-9997-4829-87b9-081a348ee3f2,6055fa41-d13d-47cd-8923-7bc8fd84728b,22.7,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/9073,LB104-7009-TD201 Local room temperature,Temperature,IndoorAir,FRD.,7009,PLAN 10,af4d9b96-7afa-4b59-9fe5-e0f90b991496,6055fa41-d13d-47cd-8923-7bc8fd84728b,23.9,0.3,OK
Lindinvent,Lindinvent,LB104-7009-TD201/9084,LB104-7009-TD201 Local supply air flow,Flow,SupplyAir,FRD.,7009,PLAN 10,09093a2d-c388-4c09-a683-b7b150de225e,6055fa41-d13d-47cd-8923-7bc8fd84728b,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/-12,LB104-7010-TB15A1 Supply air flow,Flow,SupplyAir,GRUPPRUM,7010,PLAN 10,e4e32a1f-4771-4662-bf1b-622014459dfb,1d72b32a-f804-4c07-9354-038352c8c410,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/4151,LB104-7010-TB15A1 Local presence,Presence,IndoorAir,GRUPPRUM,7010,PLAN 10,126fb2aa-9476-484a-b4bb-6086c70b9d1c,1d72b32a-f804-4c07-9354-038352c8c410,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/4152,LB104-7010-TB15A1 Presence,Presence,IndoorAir,GRUPPRUM,7010,PLAN 10,3c4f054c-978a-44e8-8e72-407f9f203cb1,1d72b32a-f804-4c07-9354-038352c8c410,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/8006,LB104-7010-TB15A1 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7010,PLAN 10,b4bbd866-b7dd-4bce-8b94-108c2600a763,1d72b32a-f804-4c07-9354-038352c8c410,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/9004,LB104-7010-TB15A1 Opening,State,SupplyAir,GRUPPRUM,7010,PLAN 10,b53457a6-a7d5-4a00-84b1-974c5a356ca4,1d72b32a-f804-4c07-9354-038352c8c410,16.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A1/9070,LB104-7010-TB15A1 Room temperature,Temperature,IndoorAir,GRUPPRUM,7010,PLAN 10,1f2eb868-fbc4-4886-80c8-091c16f3dd53,1d72b32a-f804-4c07-9354-038352c8c410,22.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A3/-12,LB104-7010-TB15A3 Supply air flow,Flow,SupplyAir,GRUPPRUM,7010,PLAN 10,b93d9ce7-a38b-4fbb-a2c9-2c926082368b,2439dec9-945d-4293-b28e-5941bc864910,0.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A3/4151,LB104-7010-TB15A3 Local presence,Presence,IndoorAir,GRUPPRUM,7010,PLAN 10,c5571723-1714-40db-a889-c296a5d2550e,2439dec9-945d-4293-b28e-5941bc864910,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A3/4152,LB104-7010-TB15A3 Presence,Presence,IndoorAir,GRUPPRUM,7010,PLAN 10,4dc962bd-630d-4a7d-89af-c4247a178b0d,2439dec9-945d-4293-b28e-5941bc864910,1.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A3/8006,LB104-7010-TB15A3 Room temperature setpoint,CapabilityTypeSetpoint,IndoorAir,GRUPPRUM,7010,PLAN 10,120b73fc-7bcc-4b6d-962b-10689badff01,2439dec9-945d-4293-b28e-5941bc864910,21.0,0.3,OK
Lindinvent,Lindinvent,LB104-7010-TB15A3/9004,LB104-7010-TB15A3 Opening,State,SupplyAir,GRUPPRUM,7010,PLAN 10,efd6615d-60f6-4834-8cda-9ec2eff15039,2439dec9-945d-4293-b28e-5941bc864910,16.0,0.3,OK
